机型,count
X80,7426
iQOO 10,7393
iQOO 11,7296
iQOO 10 Pro,7291
X90,7251
X90 Pro+,7241
iQOO 11 Pro,7195
X80 Pro,7172
iQOO 11S,6215
X90 Pro,6184
X90s,5905
X Fold2,5845
X Fold,4965
X Fold+,4351
X Flip,4106
