机型,count
Y77,13374
Y77e,8933
iQOO Z7,5034
Y78+,4975
Y78,4807
Y33e,2808
T2x,2081
Y35+,2046
iQOO U5x,1610
Y78m,744
iQOO U5e,393
Y35m+,204

